"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"243","2020/08/30","AU",25203200,76,41,25746,652,1757,1339,0.00102153694768918,3.01549009649568e-06,6.97133697308278e-05,5.31281742001016e-05
"244","2020/08/31","AU",25203200,73,5,25819,657,1583,1217,0.00102443340528187,2.89645759268664e-06,6.28094845099035e-05,4.82875190452006e-05
"245","2020/09/01","AU",25203200,104,6,25923,663,1516,1112,0.00102855986541392,4.12646013204672e-06,6.01510919248349e-05,4.41213814118842e-05
"246","2020/09/02","AU",25203200,126,15,26049,678,1447,1134,0.0010335592305739,4.99936515997969e-06,5.7413344337227e-05,4.49942864398172e-05
"247","2020/09/03","AU",25203200,87,59,26136,737,1325,1083,0.00103701117318436,3.45194261046216e-06,5.25726891823261e-05,4.29707338750635e-05
"248","2020/09/04","AU",25203200,71,11,26207,748,1292,1003,0.0010398282757745,2.81710259014728e-06,5.12633316404266e-05,3.97965337734891e-05
"249","2020/09/05","AU",25203200,71,5,26278,753,1225,956,0.00104264537836465,2.81710259014728e-06,4.8604939055358e-05,3.79316912138141e-05
"250","2020/09/06","AU",25203200,43,9,26321,762,1117,873,0.00104435151091925,1.70613255459624e-06,4.43197689182326e-05,3.46384586084307e-05
"251","2020/09/07","AU",25203200,52,8,26373,770,1051,826,0.00104641474098527,2.06323006602336e-06,4.17010538344337e-05,3.27736160487557e-05
"252","2020/09/08","AU",25203200,92,11,26465,781,1017,795,0.00105006507110208,3.65033011681056e-06,4.03520187912646e-05,3.15436135093956e-05
"253","2020/09/09","AU",25203200,59,7,26524,788,977,778,0.00105240604367699,2.34097257491112e-06,3.87649187404774e-05,3.08690959878111e-05
"254","2020/09/10","AU",25203200,40,9,26564,797,894,745,0.00105399314372778,1.5871000507872e-06,3.5471686135094e-05,2.95597384459116e-05
"255","2020/09/11","AU",25203200,43,6,26607,803,861,684,0.00105569927628238,1.70613255459624e-06,3.41623285931945e-05,2.71394108684611e-05
"256","2020/09/12","AU",25203200,44,7,26651,810,832,602,0.00105744508633824,1.74581005586592e-06,3.30116810563738e-05,2.38858557643474e-05
"257","2020/09/13","AU",25203200,41,6,26692,816,769,556,0.0010590718638903,1.62677755205688e-06,3.0511998476384e-05,2.20606907059421e-05
"258","2020/09/14","AU",25203200,47,0,26739,816,690,532,0.00106093670644997,1.86484255967496e-06,2.73774758760792e-05,2.11084306754698e-05
"259","2020/09/15","AU",25203200,39,8,26778,824,642,500,0.00106248412899949,1.54742254951752e-06,2.54729558151346e-05,1.983875063484e-05
"260","2020/09/16","AU",25203200,35,8,26813,832,606,492,0.00106387284154393,1.3887125444388e-06,2.40445657694261e-05,1.95213306246826e-05
"261","2020/09/17","AU",25203200,48,5,26861,837,583,488,0.00106577736160488,1.90452006094464e-06,2.31319832402235e-05,1.93626206196039e-05
"262","2020/09/18","AU",25203200,24,7,26885,844,564,420,0.00106672962163535,9.52260030472321e-07,2.23781107160995e-05,1.66645505332656e-05
"263","2020/09/19","AU",25203200,13,5,26898,849,525,374,0.00106724542915185,5.15807516505841e-07,2.0830688166582e-05,1.48393854748603e-05
"264","2020/09/20","AU",25203200,14,2,26912,851,447,348,0.00106780091416963,5.55485017775521e-07,1.7735843067547e-05,1.38077704418487e-05
"265","2020/09/21","AU",25203200,30,3,26942,854,418,335,0.00106899123920772,1.1903250380904e-06,1.65851955307263e-05,1.32919629253428e-05
"266","2020/09/22","AU",25203200,30,5,26972,859,408,321,0.00107018156424581,1.1903250380904e-06,1.61884205180295e-05,1.27364779075673e-05
"267","2020/09/23","AU",25203200,8,2,26980,861,373,288,0.00107049898425597,3.1742001015744e-07,1.47997079735907e-05,1.14271203656679e-05
"268","2020/09/24","AU",25203200,20,8,27000,869,349,261,0.00107129253428136,7.93550025393601e-07,1.38474479431183e-05,1.03558278313865e-05
"269","2020/09/25","AU",25203200,16,1,27016,870,324,238,0.00107192737430168,6.34840020314881e-07,1.28555104113763e-05,9.44324530218385e-06
"270","2020/09/26","AU",25203200,24,2,27040,872,301,227,0.00107287963433215,9.52260030472321e-07,1.19429278821737e-05,9.00679278821737e-06
"271","2020/09/27","AU",25203200,4,3,27044,875,266,183,0.00107303834433723,1.5871000507872e-07,1.05542153377349e-05,7.26098273235145e-06
"272","2020/09/28","AU",25203200,11,7,27055,882,242,170,0.00107347479685119,4.3645251396648e-07,9.60195530726257e-06,6.74517521584561e-06
"273","2020/09/29","AU",25203200,23,4,27078,886,217,180,0.0010743873793804,9.12582529202641e-07,8.61001777552057e-06,7.14195022854241e-06
"274","2020/09/30","AU",25203200,18,2,27096,888,211,184,0.00107510157440325,7.14195022854241e-07,8.37195276790249e-06,7.30066023362113e-06
"275","2020/10/01","AU",25203200,13,2,27109,890,211,167,0.00107561738191976,5.15807516505841e-07,8.37195276790249e-06,6.62614271203657e-06
