"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"131","2020/05/10","US",329064917,18805,987,1339085,83178,313645,257981,0.00406936422213614,5.71467787312009e-05,0.000953140197561687,0.000783982085820471
"132","2020/05/11","US",329064917,19298,1044,1358383,84222,306484,242372,0.00412800918549455,5.86449633584002e-05,0.000931378534041658,0.00073654767639663
"133","2020/05/12","US",329064917,22927,1598,1381310,85820,300206,237951,0.00419768236794444,6.96731824498933e-05,0.000912300231628764,0.000723112637376655
"134","2020/05/13","US",329064917,20433,1723,1401743,87543,285732,234063,0.00425977649875085,6.20941308064147e-05,0.000868314989652938,0.000711297339545923
"135","2020/05/14","US",329064917,26817,1783,1428560,89326,285201,236812,0.00434127105685958,8.14945581087272e-05,0.000866701326291797,0.000719651314272436
"136","2020/05/15","US",329064917,24733,1667,1453293,90993,285613,237017,0.00441643251808579,7.51614612262054e-05,0.000867953358880856,0.000720274291652914
"137","2020/05/16","US",329064917,24135,1201,1477428,92194,285680,236583,0.00448977670870942,7.33441906236392e-05,0.00086815696612228,0.000718955402954731
"138","2020/05/17","US",329064917,18388,825,1495816,93019,279540,227542,0.00454565626028131,5.58795515718863e-05,0.00084949803384844,0.000691480581018608
"139","2020/05/18","US",329064917,22389,1222,1518205,94241,277360,223101,0.0046136945069717,6.80382466903939e-05,0.000842873201217011,0.00067798476371761
"140","2020/05/19","US",329064917,20979,1459,1539184,95700,270910,218904,0.00467744788485003,6.3753377878323e-05,0.000823272205587325,0.000665230441445084
"141","2020/05/20","US",329064917,22725,1500,1561909,97200,266805,222824,0.0047465072066616,6.90593218115683e-05,0.000810797463407501,0.000677142984525452
"142","2020/05/21","US",329064917,25769,1187,1587678,98387,267398,229295,0.00482481698284476,7.83097761831596e-05,0.000812599539439812,0.000696807797350211
"143","2020/05/22","US",329064917,23649,1220,1611327,99607,272242,230017,0.00489668426123955,7.18672783947977e-05,0.000827320039103409,0.000699001893295115
"144","2020/05/23","US",329064917,21099,1088,1632426,100695,274043,230683,0.00496080230880401,6.41180475644567e-05,0.000832793123309465,0.000701025810053157
"145","2020/05/24","US",329064917,20077,640,1652503,101335,271193,223943,0.00502181458620823,6.10122774042181e-05,0.00082413221826379,0.000680543529348648
"146","2020/05/25","US",329064917,18662,597,1671165,101932,269422,217872,0.00507852680023012,5.67122140218916e-05,0.000818750301479267,0.000662094282144334
"147","2020/05/26","US",329064917,19663,678,1690828,102610,262268,213400,0.00513828096721718,5.97541669870568e-05,0.000797009910357597,0.000648504258507752
"148","2020/05/27","US",329064917,18551,1457,1709379,104067,256086,213563,0.00519465586177939,5.63748945622179e-05,0.000778223343693609,0.000648999601498084
"149","2020/05/28","US",329064917,22320,1093,1731699,105160,254271,213494,0.00526248442340026,6.7828561620867e-05,0.000772707714690837,0.000648789916428557
"150","2020/05/29","US",329064917,24478,1129,1756177,106289,260361,216993,0.00533687096154343,7.43865381431713e-05,0.000791214701262122,0.000659423076693405
"151","2020/05/30","US",329064917,23632,954,1779809,107243,261604,217900,0.00540868657839936,7.18156168559288e-05,0.000794992071427657,0.000662179371737766
"152","2020/05/31","US",329064917,18983,616,1798792,107859,259608,211114,0.00546637428383166,5.76877054322992e-05,0.000788926398981633,0.000641557300986905
"153","2020/06/01","US",329064917,17414,778,1816206,108637,254297,204879,0.00551929393311776,5.29196492861012e-05,0.000772786726456166,0.000622609671878209
"154","2020/06/02","US",329064917,21502,980,1837708,109617,250030,205282,0.00558463666304482,6.53427299270557e-05,0.000759819680200062,0.000623834354240808
