"date","ISO2","country","ISO3","population","count_14days","count_local_14days","p_cli_14days","p_cli_14days_low","p_cli_14days_high","p_cliWHO_14days","p_cliWHO_14days_low","p_cliWHO_14days_high","p_anosmia_14days","p_anosmia_14days_low","p_anosmia_14days_high","p_cli_local_14days","p_cli_local_14days_low","p_cli_local_14days_high","p_cases_active"
2020-09-22,"PT","Portugal","PRT",10276617,23609,23515,0.00241433351687916,0.00178832098547799,0.00304034604828032,0.00186369604811724,0.00131353256226089,0.0024138595339736,0.0149519251133042,0.01340386947739,0.0164999807492185,0.00306749204642561,0.00297040478159526,0.00316457931125595,0.00186369604811724
2020-09-23,"PT","Portugal","PRT",10276617,23699,23603,0.00244736064812861,0.00181828919465802,0.0030764321015992,0.00177222667623106,0.00123672906270667,0.00230772428975546,0.015063926747964,0.0135131252922707,0.0166147282036574,0.00319195113508916,0.00309310483038416,0.00329079743979416,0.00177222667623106
2020-09-24,"PT","Portugal","PRT",10276617,23722,23629,0.00231852289014417,0.00170649094786482,0.00293055483242352,0.00164404350392041,0.00112849230675954,0.00215959470108129,0.0145434617654498,0.0130200227468777,0.0160669007840219,0.00322596872886451,0.00312665348367611,0.00332528397405292,0.00164404350392041
2020-09-25,"PT","Portugal","PRT",10276617,23740,23643,0.0023167649536647,0.00170519652376543,0.00292833338356398,0.00160067396798652,0.00109215013209728,0.00210919780387576,0.0149957877000842,0.0134497808308325,0.016541794569336,0.00333817740142481,0.00323718528282035,0.00343916952002927,0.00160067396798652
2020-09-26,"PT","Portugal","PRT",10276617,23817,23723,0.00264516941680312,0.00199285623187727,0.00329748260172897,0.00184741991014821,0.00130205669738639,0.00239278312291004,0.0150732669941638,0.0135258398124779,0.0166206941758497,0.0033730501169552,0.0032717049453984,0.00347439528851201,0.00184741991014821
2020-09-27,"PT","Portugal","PRT",10276617,23793,23690,0.00277392510402219,0.00210563094242186,0.00344221926562252,0.0018072542344387,0.00126756926993144,0.00234693919894596,0.0149623838944227,0.0134197946707139,0.0165049731181315,0.00343270387154838,0.00333039834114981,0.00353500940194695,0.0018072542344387
2020-09-28,"PT","Portugal","PRT",10276617,23800,23694,0.00277310924369748,0.00210501136590829,0.00344120712148667,0.00180672268907563,0.00126719631178936,0.0023462490663619,0.0155042016806723,0.0139345935109132,0.0170738098504313,0.00349025547427818,0.00338710758448736,0.00359340336406899,0.00180672268907563
2020-09-29,"PT","Portugal","PRT",10276617,23689,23584,0.00270167588332137,0.00204067217690212,0.00336267958974063,0.00168854742707586,0.00116571274889615,0.00221138210525556,0.0158301321288362,0.0142406632499238,0.0174196010077485,0.00328732623332736,0.00318697844242993,0.00338767402422479,0.00168854742707586
2020-09-30,"PT","Portugal","PRT",10276617,23624,23512,0.00262444971215713,0.00197204083662124,0.00327685858769302,0.00169319336268202,0.0011689213565973,0.00221746536876674,0.0164239756180156,0.0148032313781828,0.0180447198578484,0.0032620837532982,0.00316196777097252,0.00336219973562387,0.00169319336268202
2020-10-01,"PT","Portugal","PRT",10276617,23598,23487,0.00279684719043987,0.00212303838290914,0.0034706559979706,0.00182218832104416,0.00127804778776508,0.00236632885432324,0.0163996948893974,0.0147792371695455,0.0180201526092493,0.00321253587894066,0.00311312780496101,0.0033119439529203,0.00182218832104416
2020-10-02,"PT","Portugal","PRT",10276617,23362,23251,0.0026538823730845,0.00199416660124992,0.00331359814491907,0.00179779128499272,0.00125457600219384,0.0023410065677916,0.0161801215649345,0.0145622584714695,0.0177979846583996,0.003413121610513,0.00331014874419281,0.00351609447683319,0.00179779128499272
2020-10-03,"PT","Portugal","PRT",10276617,23180,23069,0.00276100086281277,0.00208550254246777,0.00343649918315777,0.00185504745470233,0.00130110366904668,0.00240899124035798,0.0163934426229508,0.0147587460001772,0.0180281392457244,0.00347358253377685,0.00336929581795602,0.00357786924959767,0.00185504745470233
2020-10-04,"PT","Portugal","PRT",10276617,22852,22738,0.00284438998774724,0.00215389262781288,0.00353488734768161,0.00179415368457903,0.00124546518373285,0.00234284218542521,0.0164537020829687,0.0148043430544656,0.0181030611114718,0.00359302107518459,0.00348619376637327,0.00369984838399591,0.00179415368457903
