"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_active","p_infected","p_infected_low","p_infected_high","p_daily","p_active"
"2021-07-17","VC",110696,2,0,2260,12,883.939252458676,749.980499797129,1041.82522378723,0,0,0.00798528630175143,0.00677513640779368,0.00941158870950378,0,0,0.00798528630175143,0.00677513640779368,0.00941158870950378,0,0
"2021-07-18","VC",110696,0,0,2260,12,882.859327756227,749.063344860355,1040.55364336575,0,0,0.00797553053187312,0.00676685105930075,0.00940010156975635,0,0,0.00797553053187312,0.00676685105930075,0.00940010156975635,0,0
"2021-07-19","VC",110696,3,0,2263,12,882.96479000649,749.151936673529,1040.67917631368,0,0,0.00797648325148596,0.00676765137560101,0.00940123560303604,0,0,0.00797648325148596,0.00676765137560101,0.00940123560303604,0,0
"2021-07-20","VC",110696,0,0,2263,12,881.93119877778,748.274395811933,1039.46178531692,0,0,0.00796714604663023,0.00675972389076328,0.00939023799700912,0,0,0.00796714604663023,0.00675972389076328,0.00939023799700912,0,0
"2021-07-21","VC",110696,3,0,2266,12,882.098904092062,748.415802407737,1039.6606727132,0,0,0.00796866105452828,0.0067610013226109,0.00939203469604322,0,0,0.00796866105452828,0.0067610013226109,0.00939203469604322,0,0
"2021-07-22","VC",110696,5,0,2271,12,883.078950141066,749.246733381489,1040.8165927701,0,0,0.007977514545612,0.0067685077453701,0.00940247698896165,0,0,0.007977514545612,0.0067685077453701,0.00940247698896165,0,0
"2021-07-23","VC",110696,0,0,2271,12,882.114219842287,748.427330684264,1039.6807611723,0,0,0.00796879941318825,0.00676110546618003,0.00939221617016239,0,0,0.00796879941318825,0.00676110546618003,0.00939221617016239,0,0
"2021-07-24","VC",110696,0,0,2271,12,881.138705860427,747.599074525871,1038.53180858709,0,0,0.0079599868636665,0.00675362320703432,0.009381836819642,0,0,0.0079599868636665,0.00675362320703432,0.009381836819642,0,0
"2021-07-25","VC",110696,0,0,2271,12,880.190365943057,746.793585617406,1037.41528478511,0,0,0.00795141979785229,0.00674634662153471,0.00937175042264495,0,0,0.00795141979785229,0.00674634662153471,0.00937175042264495,0,0
"2021-07-26","VC",110696,0,0,2271,12,879.29708226782,746.035102824998,1036.3632434412,0,0,0.00794335009637042,0.00673949467754028,0.00936224654405937,0,0,0.00794335009637042,0.00673949467754028,0.00936224654405937,0,0
"2021-07-27","VC",110696,9,0,2280,12,881.95304471806,748.287959589795,1039.49443943193,0,0,0.00796734339739521,0.00675984642254277,0.00939053298612354,0,0,0.00796734339739521,0.00675984642254277,0.00939053298612354,0,0
"2021-07-28","VC",110696,8,0,2288,12,884.232786476209,750.221611869119,1042.18221430801,0,0,0.00798793801470884,0.00677731455399579,0.00941481367265311,0,0,0.00798793801470884,0.00677731455399579,0.00941481367265311,0,0
"2021-07-29","VC",110696,0,0,2288,12,883.326903738547,749.452441694024,1041.11532027923,0,0,0.00797975449644564,0.00677036606285705,0.00940517561862429,0,0,0.00797975449644564,0.00677036606285705,0.00940517561862429,0,0
